,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,Childwhynotschool_nodocs,Childwhynotschool_nomoney,Childwhynotschool_failedschool,Childwhynotschool_childwork,Childwhynotschool_fearschool,Childwhynotschool_disease,Childwhynotschool_disability,Childwhynotschool_helphome,Childwhynotschool_familynot,Childwhynotschool_noschools,Childwhynotschool_nointerest,Childwhynotschool_pregnancy,Childwhynotschool_nospot,Childwhynotschool_notransport,Childwhynotschool_discrimnation,Childwhynotschool_discrimethnic,Childwhynotschool_finished,Childwhynotschool_recentlyarrive,Childwhynotschool_intransit,Childwhynotschool_noinfo,Childwhynotschool_toolate,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical,whynotMedical_nomoney,whynotMedical_noinsurance,whynotMedical_noID,whynotMedical_noinfo,whynotMedical_feararrested,whynotMedical_distance,whynotMedical_notavailable,whynotMedical_denied
77,Bolivia,venezuela,,stay,2.0,2.0,no,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
78,Bolivia,venezuela,,dontknow,3.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
79,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,1,0,0,0,0,0,0,0
80,Bolivia,venezuela,,stay,4.0,1.0,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Agree,1,0,0,0,0,0,0,0,0,0
81,Bolivia,venezuela,,stay,2.0,1.0,yes,1,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Agree,0,0,1,0,1,0,0,0,0,0
82,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
83,Bolivia,venezuela,,stay,,,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,1,1,1,0,0,0,0,0
84,Bolivia,venezuela,,stay,2.0,2.0,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
85,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,1,0,1,0,0,0,0,0,0,0
86,Bolivia,venezuela,,stay,5.0,4.0,no,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,0,0,0,0,0,0,0,0,0,0
87,Bolivia,venezuela,,relocate,3.0,1.0,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,0,0,0,0,0,0,0,0,0,0
88,Bolivia,venezuela,,stay,,,no,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Agree,1,0,0,1,1,0,0,0,0,0
89,Bolivia,venezuela,,stay,4.0,3.0,yes,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,Disagree,0,0,0,0,0,0,0,0,0,0
90,Bolivia,venezuela,,stay,1.0,2.0,yes,1,no,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Agree,1,0,0,0,0,0,0,0,0,0
91,Bolivia,venezuela,,stay,2.0,2.0,yes,1,no,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0
92,Bolivia,venezuela,,dontknow,2.0,1.0,,1,yes,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
93,Bolivia,venezuela,,stay,2.0,0.0,yes,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,0,0,0,0,0,0,0,0,0,0
94,Bolivia,venezuela,,stay,3.0,0.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Disagree,0,0,0,0,0,0,0,0,0,0
95,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
96,Bolivia,venezuela,,stay,2.0,1.0,no,1,yes,dontknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,StronglyAgree,0,0,0,0,0,0,0,0,0,0
97,Bolivia,venezuela,,stay,,,yes,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Undecided,Agree,0,0,0,0,0,0,0,0,0,0
98,Bolivia,venezuela,,stay,,,no,1,yes,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StronglyAgree,StronglyAgree,1,0,0,0,0,0,0,0,0,0
