index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
155,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,2.0,yes,1,yes,no,0,StronglyAgree,StronglyAgree,0,0
156,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,3.0,0.0,yes,1,,,0,Disagree,StronglyAgree,1,0
157,2021,Q1Q2,Brazil,venezuela,,stay,1.0,0.0,yes,1,,,0,,Undecided,0,0
158,2021,Q1Q2,Brazil,venezuela,mixed,relocate,2.0,1.0,yes,1,,,0,,StronglyAgree,0,0
159,2021,Q1Q2,Brazil,venezuela,mixed,stay,4.0,0.0,no,1,,,0,Agree,StronglyAgree,1,0
160,2021,Q1Q2,Brazil,venezuela,,dontknow,2.0,1.0,yes,1,,,0,,Undecided,0,0
161,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,1.0,0.0,no,1,,,0,,Disagree,0,0
162,2021,Q1Q2,Brazil,venezuela,mixed,dontknow,1.0,1.0,no,1,,,0,,StronglyDisagree,0,0
163,2021,Q1Q2,Brazil,venezuela,white,stay,3.0,2.0,yes,1,no,,0,,Disagree,0,0
164,2021,Q1Q2,Brazil,venezuela,,stay,2.0,3.0,yes,1,no,,0,Agree,StronglyAgree,1,0
165,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,1.0,yes,1,yes,yes,0,Agree,Agree,1,0
166,2021,Q1Q2,Brazil,venezuela,black,stay,4.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,0,0
167,2021,Q1Q2,Brazil,venezuela,white,stay,2.0,1.0,no,1,,,0,Agree,Disagree,0,0
168,2021,Q1Q2,Brazil,venezuela,mixed,relocate,4.0,4.0,yes,1,no,,0,StronglyAgree,StronglyAgree,0,0
169,2021,Q1Q2,Brazil,venezuela,mixed,stay,0.0,1.0,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,0,0
170,2021,Q1Q2,Brazil,venezuela,white,stay,2.0,0.0,yes,1,,,0,,StronglyAgree,0,0
171,2021,Q1Q2,Brazil,venezuela,mixed,stay,3.0,3.0,no,1,no,,0,Agree,Disagree,0,0
172,2021,Q1Q2,Brazil,venezuela,mixed,stay,4.0,0.0,yes,1,,,0,,Disagree,0,0
173,2021,Q1Q2,Brazil,venezuela,,relocate,2.0,2.0,yes,1,yes,no,0,Agree,StronglyAgree,1,0
174,2021,Q1Q2,Brazil,venezuela,,dontknow,5.0,1.0,yes,1,yes,yes,0,Agree,StronglyAgree,0,0
175,2021,Q1Q2,Brazil,colombia,other,dontknow,5.0,2.0,yes,0,yes,yes,0,,StronglyAgree,0,0
176,2021,Q1Q2,Brazil,venezuela,mixed,relocate,5.0,1.0,yes,1,no,,0,Disagree,Agree,1,0
177,2021,Q1Q2,Brazil,venezuela,mixed,stay,2.0,0.0,yes,1,,,0,StronglyAgree,Undecided,0,0
178,2021,Q1Q2,Brazil,venezuela,,relocate,1.0,2.0,yes,1,no,,0,,StronglyDisagree,0,0
179,2021,Q1Q2,Brazil,venezuela,,dontknow,1.0,0.0,yes,1,,,0,Disagree,StronglyAgree,0,0
180,2021,Q1Q2,Brazil,venezuela,other,stay,2.0,1.0,yes,0,yes,no,0,StronglyAgree,Disagree,0,0
181,2021,Q1Q2,Brazil,venezuela,,relocate,2.0,3.0,yes,1,,,0,StronglyAgree,StronglyAgree,0,0
182,2021,Q1Q2,Brazil,venezuela,mixed,stay,5.0,6.0,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
183,2021,Q1Q2,Brazil,venezuela,white,stay,2.0,1.0,yes,1,no,,0,,Disagree,0,0
184,2021,Q1Q2,Brazil,venezuela,other,relocate,1.0,2.0,no,0,yes,yes,0,StronglyAgree,Undecided,0,0
185,2021,Q1Q2,Brazil,venezuela,,dontknow,2.0,0.0,yes,1,,,0,,StronglyAgree,0,0
186,2021,Q1Q2,Brazil,venezuela,mixed,relocate,3.0,0.0,no,1,,,0,Agree,Disagree,0,0
187,2021,Q1Q2,Brazil,venezuela,white,stay,2.0,2.0,yes,1,no,,0,Agree,Undecided,0,0
188,2021,Q1Q2,Brazil,venezuela,mixed,stay,1.0,3.0,yes,1,yes,no,0,Agree,Agree,1,0
189,2021,Q1Q2,Brazil,venezuela,other,stay,4.0,2.0,yes,1,no,,0,StronglyAgree,StronglyAgree,1,0
190,2021,Q1Q2,Brazil,cuba,white,stay,2.0,0.0,yes,0,,,0,StronglyAgree,Agree,0,0
191,2021,Q1Q2,Brazil,venezuela,,relocate,1.0,0.0,yes,1,,,0,,StronglyAgree,0,0
192,2021,Q1Q2,Brazil,venezuela,mixed,stay,4.0,1.0,yes,1,,,0,StronglyAgree,Agree,0,0
193,2021,Q1Q2,Brazil,venezuela,white,stay,3.0,5.0,yes,1,yes,yes,0,,Disagree,0,0
