Year,Quarter,CountryOfAsylum,nationality,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,Childinschool,Childvirtualed,medicalReceived,RiskYes,RiskReturn_medical
2020,Q4,Argentina,venezuela,stay,5,1,nointention,yes,yes,StronglyAgree,Agree,0
2020,Q4,Argentina,venezuela,stay,2,1,Unknown,yes,yes,Undecided,StronglyAgree,1
2020,Q4,Argentina,venezuela,relocate,2,1,nointention,yes,yes,StronglyAgree,Disagree,0
2020,Q4,Argentina,venezuela,stay,4,1,yes,yes,no,Agree,Agree,1
2020,Q4,Argentina,venezuela,relocate,2,0,nointention,Not Applicable,Not Applicable,Agree,Agree,1
2020,Q4,Argentina,venezuela,stay,3,0,nointention,Not Applicable,Not Applicable,Agree,Agree,1
2020,Q4,Argentina,venezuela,stay,3,1,nointention,yes,yes,Agree,Agree,0
2020,Q4,Argentina,venezuela,stay,3,2,nointention,yes,yes,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,no,Undecided,Agree,1
2020,Q4,Argentina,venezuela,relocate,2,2,nointention,yes,no,Agree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,dontknow,4,0,no,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,Unknown,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,5,2,no,yes,no,StronglyAgree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,relocate,2,0,no,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,relocate,2,1,no,yes,no,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,StronglyAgree,Disagree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,Unknown,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,no,Not Applicable,Not Applicable,Undecided,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Agree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,3,0,no,Not Applicable,Not Applicable,StronglyAgree,Undecided,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,Agree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,Unknown,yes,no,Disagree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,4,3,no,yes,no,StronglyAgree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,StronglyAgree,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,no,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,dontknow,2,1,Unknown,yes,yes,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,Undecided,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,stay,4,0,yes,Not Applicable,Not Applicable,Disagree,Agree,1
2021,Q1Q2,Argentina,venezuela,stay,2,1,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,2,no,yes,yes,Agree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,1,yes,yes,no,Undecided,StronglyAgree,1
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2021,Q1Q2,Argentina,venezuela,relocate,2,1,yes,no,no,Undecided,StronglyDisagree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2021,Q1Q2,Argentina,venezuela,stay,2,0,no,Not Applicable,Not Applicable,StronglyAgree,Agree,0
