index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
20,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,yes,yes,0,,Agree,1,0
21,2021,Q3,Bolivia,venezuela,,stay,4.0,0.0,no,1,,,0,Disagree,Agree,0,0
22,2021,Q3,Bolivia,venezuela,,stay,,,yes,0,yes,yes,0,,Disagree,0,0
23,2021,Q3,Bolivia,venezuela,,stay,1.0,1.0,,0,yes,yes,0,StronglyAgree,StronglyAgree,1,0
24,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,yes,1,yes,yes,0,,StronglyAgree,1,0
25,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,,,0,StronglyAgree,Agree,1,0
26,2021,Q3,Bolivia,venezuela,,stay,,,yes,1,,,0,,Agree,0,0
27,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,no,,0,Agree,Agree,1,0
28,2021,Q3,Bolivia,venezuela,,stay,5.0,1.0,,1,,,0,Agree,StronglyAgree,1,0
29,2021,Q3,Bolivia,venezuela,,stay,,,no,1,,,0,,Disagree,0,0
30,2021,Q3,Bolivia,venezuela,,stay,3.0,0.0,yes,1,,,0,,Disagree,0,0
31,2021,Q3,Bolivia,venezuela,,relocate,2.0,2.0,yes,1,yes,yes,0,Disagree,Agree,0,0
32,2021,Q3,Bolivia,venezuela,,relocate,2.0,1.0,,1,,,0,Agree,Agree,1,0
33,2021,Q3,Bolivia,venezuela,,stay,3.0,2.0,,1,yes,yes,0,,Agree,0,0
34,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,no,,0,StronglyAgree,StronglyAgree,0,0
35,2021,Q3,Bolivia,venezuela,,stay,6.0,0.0,no,1,,,0,Disagree,Disagree,0,0
36,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,Agree,Agree,0,0
37,2021,Q3,Bolivia,venezuela,,stay,1.0,0.0,,1,,,0,,StronglyAgree,1,0
38,2021,Q3,Bolivia,venezuela,,relocate,3.0,0.0,,1,,,0,,Agree,0,0
39,2021,Q3,Bolivia,venezuela,,stay,4.0,3.0,yes,1,yes,yes,0,StronglyAgree,Agree,1,0
40,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,,,0,,StronglyAgree,1,0
41,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,Agree,Disagree,0,0
42,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,yes,1,yes,yes,0,Agree,Agree,0,0
43,2021,Q3,Bolivia,venezuela,,stay,2.0,3.0,yes,1,yes,no,0,Disagree,Agree,0,0
