index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
527,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,,StronglyAgree,1.0,0.0
528,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,yes,0,,,0.0,StronglyAgree,StronglyAgree,0.0,0.0
529,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,StronglyAgree,Agree,1.0,0.0
530,2021,Q1Q2,Argentina,venezuela,,stay,3.0,2.0,,1,,,0.0,Agree,Agree,0.0,0.0
531,2021,Q1Q2,Argentina,venezuela,,relocate,3.0,0.0,no,0,,,0.0,StronglyAgree,StronglyDisagree,0.0,0.0
532,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,0,,,0.0,Agree,Agree,1.0,0.0
533,2021,Q1Q2,Argentina,venezuela,,relocate,1.0,0.0,no,1,,,0.0,StronglyAgree,StronglyAgree,0.0,0.0
534,2021,Q1Q2,Argentina,venezuela,,dontknow,3.0,0.0,no,1,,,0.0,Agree,StronglyDisagree,0.0,0.0
535,2021,Q1Q2,Argentina,venezuela,,stay,,,no,1,yes,yes,0.0,Agree,Agree,1.0,0.0
536,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,,1,,,0.0,,Agree,1.0,0.0
537,2021,Q1Q2,Argentina,venezuela,,stay,,,no,1,yes,yes,0.0,Agree,Agree,0.0,0.0
538,2021,Q1Q2,Argentina,venezuela,,stay,2.0,2.0,no,1,yes,no,0.0,,StronglyAgree,1.0,0.0
539,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,,1,yes,yes,0.0,,StronglyAgree,0.0,0.0
540,2021,Q1Q2,Argentina,venezuela,,stay,3.0,0.0,no,0,,,0.0,StronglyAgree,Agree,0.0,0.0
541,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,,Undecided,0.0,0.0
542,2021,Q1Q2,Argentina,venezuela,,dontknow,2.0,1.0,no,1,,,0.0,Undecided,Agree,0.0,0.0
543,2021,Q1Q2,Argentina,venezuela,,stay,4.0,1.0,no,1,yes,no,0.0,,StronglyAgree,1.0,0.0
544,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,Agree,StronglyAgree,0.0,0.0
545,2021,Q1Q2,Argentina,venezuela,,stay,2.0,2.0,no,1,yes,yes,0.0,,StronglyAgree,1.0,0.0
546,2021,Q1Q2,Argentina,venezuela,,stay,2.0,1.0,no,1,,,0.0,StronglyAgree,StronglyAgree,1.0,0.0
547,2021,Q1Q2,Argentina,venezuela,,stay,4.0,1.0,no,1,yes,no,0.0,Agree,Agree,0.0,0.0
548,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,StronglyAgree,Agree,0.0,0.0
549,2021,Q1Q2,Argentina,venezuela,,stay,2.0,2.0,yes,1,yes,no,0.0,Agree,StronglyAgree,1.0,0.0
550,2021,Q1Q2,Argentina,venezuela,,stay,5.0,2.0,no,1,yes,Nainpersonclasses,0.0,Agree,Agree,0.0,0.0
551,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,0,,,0.0,Agree,Agree,1.0,0.0
552,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,Agree,StronglyAgree,1.0,0.0
553,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,StronglyAgree,StronglyAgree,1.0,0.0
554,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,yes,1,,,0.0,StronglyAgree,StronglyAgree,0.0,0.0
555,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,StronglyAgree,StronglyAgree,0.0,0.0
556,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,StronglyAgree,Agree,1.0,0.0
557,2021,Q1Q2,Argentina,venezuela,,stay,2.0,0.0,no,1,,,0.0,StronglyAgree,StronglyAgree,0.0,0.0
558,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,,Disagree,0.0,0.0
559,2021,Q1Q2,Argentina,venezuela,,stay,1.0,1.0,no,1,yes,yes,0.0,Agree,Disagree,0.0,0.0
560,2021,Q1Q2,Argentina,venezuela,,stay,1.0,0.0,no,1,,,0.0,,StronglyAgree,1.0,0.0
